Date,Collected?,Depth_type,Depth_(cm),# Victorian Alpine Resorts - Daily Snow Depth Records - Lake Mountain 1993-2023. CC-BY Alpine Resorts Victoria
22/7/1994,Yes,Natural,2,
23/7/1994,Yes,Natural,2,
24/7/1994,Yes,Natural,0,
25/7/1994,Yes,Natural,0,
26/7/1994,Yes,Natural,10,
27/7/1994,Yes,Natural,12,
28/7/1994,Yes,Natural,12,
29/7/1994,Yes,Natural,11,
30/7/1994,Yes,Natural,6,
31/7/1994,Yes,Natural,12,
1/8/1994,Yes,Natural,50,
2/8/1994,Yes,Natural,30,
3/8/1994,Yes,Natural,37,
4/8/1994,Yes,Natural,37,
5/8/1994,Yes,Natural,37,
6/8/1994,Yes,Natural,37,
7/8/1994,Yes,Natural,39,
8/8/1994,Yes,Natural,45,
9/8/1994,Yes,Natural,50,
10/8/1994,Yes,Natural,48,
11/8/1994,Yes,Natural,47,
12/8/1994,Yes,Natural,47,
13/8/1994,Yes,Natural,48,
14/8/1994,Yes,Natural,49,
15/8/1994,Yes,Natural,50,
16/8/1994,Yes,Natural,50,
17/8/1994,Yes,Natural,50,
18/8/1994,Yes,Natural,49,
19/8/1994,Yes,Natural,49,
20/8/1994,Yes,Natural,49,
21/8/1994,Yes,Natural,47,
22/8/1994,Yes,Natural,47,
23/8/1994,Yes,Natural,47,
24/8/1994,Yes,Natural,50,
25/8/1994,Yes,Natural,49,
26/8/1994,Yes,Natural,47,
27/8/1994,Yes,Natural,47,
28/8/1994,Yes,Natural,47,
29/8/1994,Yes,Natural,36,
30/8/1994,Yes,Natural,30,
31/8/1994,Yes,Natural,20,
1/9/1994,Yes,Natural,15,
2/9/1994,Yes,Natural,15,
3/9/1994,Yes,Natural,14,
4/9/1994,Yes,Natural,14,
5/9/1994,Yes,Natural,14,
6/9/1994,Yes,Natural,8,
7/9/1994,Yes,Natural,7,
8/9/1994,Yes,Natural,7,
9/9/1994,Yes,Natural,7,
10/9/1994,Yes,Natural,7,
11/9/1994,Yes,Natural,7,
12/9/1994,Yes,Natural,5,
13/9/1994,Yes,Natural,4,
14/9/1994,Yes,Natural,4,
15/9/1994,Yes,Natural,4,
16/9/1994,Yes,Natural,6,
17/9/1994,Yes,Natural,6,
18/9/1994,Yes,Natural,6,
19/9/1994,Yes,Natural,5,
20/9/1994,Yes,Natural,27,
21/9/1994,Yes,Natural,38,
22/9/1994,Yes,Natural,35,
23/9/1994,Yes,Natural,35,
24/9/1994,Yes,Natural,35,
25/9/1994,Yes,Natural,35,
26/9/1994,Yes,Natural,30,
27/9/1994,Yes,Natural,50,
28/9/1994,Yes,Natural,85,
29/9/1994,Yes,Natural,80,
30/9/1994,Yes,Natural,80,
1/10/1994,Yes,Natural,82,
2/10/1994,Yes,Natural,82,
3/10/1994,Yes,Natural,50,
4/10/1994,Yes,Natural,45,
5/10/1994,Yes,Natural,35,
6/10/1994,Yes,Natural,25,
7/10/1994,Yes,Natural,25,
8/10/1994,No,,,
9/10/1994,No,,,
5/6/1995,Yes,Natural,0,
6/6/1995,Yes,Natural,0,
7/6/1995,Yes,Natural,0,
8/6/1995,Yes,Natural,0,
9/6/1995,Yes,Natural,0,
10/6/1995,Yes,Natural,0,
11/6/1995,Yes,Natural,0,
12/6/1995,Yes,Natural,0,
13/6/1995,Yes,Natural,0,
14/6/1995,Yes,Natural,0,
15/6/1995,Yes,Natural,0,
16/6/1995,Yes,Natural,0,
17/6/1995,Yes,Natural,0,
18/6/1995,Yes,Natural,22,
19/6/1995,Yes,Natural,8,
20/6/1995,Yes,Natural,4,
21/6/1995,Yes,Natural,4,
22/6/1995,Yes,Natural,2,
23/6/1995,Yes,Natural,1,
24/6/1995,Yes,Natural,1,
25/6/1995,Yes,Natural,1,
26/6/1995,Yes,Natural,0,
27/6/1995,Yes,Natural,0,
28/6/1995,Yes,Natural,1,
29/6/1995,Yes,Natural,15,
30/6/1995,Yes,Natural,17,
1/7/1995,Yes,Natural,30,
2/7/1995,Yes,Natural,40,
3/7/1995,Yes,Natural,35,
4/7/1995,Yes,Natural,38,
5/7/1995,Yes,Natural,38,
6/7/1995,Yes,Natural,38,
7/7/1995,Yes,Natural,37,
8/7/1995,Yes,Natural,36,
9/7/1995,Yes,Natural,36,
10/7/1995,Yes,Natural,36,
11/7/1995,Yes,Natural,43,
12/7/1995,Yes,Natural,44,
13/7/1995,Yes,Natural,42,
14/7/1995,Yes,Natural,38,
15/7/1995,Yes,Natural,38,
16/7/1995,Yes,Natural,38,
17/7/1995,Yes,Natural,36,
18/7/1995,Yes,Natural,37,
19/7/1995,Yes,Natural,46,
20/7/1995,Yes,Natural,46,
21/7/1995,Yes,Natural,46,
22/7/1995,Yes,Natural,52,
23/7/1995,Yes,Natural,52,
24/7/1995,Yes,Natural,53,
25/7/1995,Yes,Natural,56,
26/7/1995,Yes,Natural,57,
27/7/1995,Yes,Natural,57,
28/7/1995,Yes,Natural,57,
29/7/1995,Yes,Natural,67,
30/7/1995,Yes,Natural,74,
31/7/1995,Yes,Natural,84,
1/8/1995,Yes,Natural,89,
2/8/1995,Yes,Natural,93,
3/8/1995,Yes,Natural,105,
4/8/1995,Yes,Natural,110,
5/8/1995,Yes,Natural,110,
6/8/1995,Yes,Natural,122,
7/8/1995,Yes,Natural,137,
8/8/1995,Yes,Natural,142,
9/8/1995,Yes,Natural,146,
10/8/1995,Yes,Natural,146,
11/8/1995,Yes,Natural,146,
12/8/1995,Yes,Natural,146,
13/8/1995,Yes,Natural,146,
14/8/1995,Yes,Natural,145,
15/8/1995,Yes,Natural,143,
16/8/1995,Yes,Natural,143,
17/8/1995,Yes,Natural,142,
18/8/1995,Yes,Natural,135,
19/8/1995,Yes,Natural,130,
20/8/1995,Yes,Natural,125,
21/8/1995,Yes,Natural,95,
22/8/1995,Yes,Natural,85,
23/8/1995,Yes,Natural,80,
24/8/1995,Yes,Natural,75,
25/8/1995,Yes,Natural,70,
26/8/1995,Yes,Natural,60,
27/8/1995,Yes,Natural,50,
28/8/1995,Yes,Natural,40,
29/8/1995,Yes,Natural,40,
30/8/1995,Yes,Natural,39,
31/8/1995,Yes,Natural,35,
1/9/1995,Yes,Natural,37,
2/9/1995,Yes,Natural,35,
3/9/1995,Yes,Natural,30,
