Date,Collected?,Depth_type,Depth_(cm),,
15/7/1994,Yes,Natural,25,,
16/7/1994,Yes,Natural,27,,
17/7/1994,Yes,Natural,28,,
18/7/1994,Yes,Natural,28,,
19/7/1994,Yes,Natural,28,,
20/7/1994,Yes,Natural,28,,
21/7/1994,Yes,Natural,28,,
22/7/1994,Yes,Natural,28,,
23/7/1994,Yes,Natural,28,,
24/7/1994,Yes,Natural,28,,
25/7/1994,Yes,Natural,28,,
26/7/1994,Yes,Natural,28,,
27/7/1994,Yes,Natural,28,,
28/7/1994,Yes,Natural,28,,
29/7/1994,Yes,Natural,28,,
30/7/1994,Yes,Natural,28,,
31/7/1994,Yes,Natural,33,,
1/8/1994,Yes,Natural,48,,
2/8/1994,Yes,Natural,50,,
3/8/1994,Yes,Natural,50,,
4/8/1994,Yes,Natural,51,,
5/8/1994,Yes,Natural,51,,
6/8/1994,Yes,Natural,51,,
7/8/1994,Yes,Natural,54,,
8/8/1994,Yes,Natural,54,,
9/8/1994,Yes,Natural,56,,
10/8/1994,Yes,Natural,56,,
11/8/1994,Yes,Natural,56,,
12/8/1994,Yes,Natural,55,,
13/8/1994,Yes,Natural,60,,
14/8/1994,Yes,Natural,62,,
15/8/1994,Yes,Natural,62,,
16/8/1994,Yes,Natural,62,,
17/8/1994,Yes,Natural,62,,
18/8/1994,Yes,Natural,62,,
19/8/1994,Yes,Natural,62,,
20/8/1994,Yes,Natural,62,,
21/8/1994,Yes,Natural,60,,
22/8/1994,Yes,Natural,60,,
23/8/1994,Yes,Natural,63,,
24/8/1994,Yes,Natural,65,,
25/8/1994,Yes,Natural,63,,
26/8/1994,Yes,Natural,60,,
27/8/1994,Yes,Natural,60,,
28/8/1994,Yes,Natural,56,,
29/8/1994,Yes,Natural,54,,
30/8/1994,Yes,Natural,52,,
31/8/1994,Yes,Natural,50,,
1/9/1994,Yes,Natural,50,,
2/9/1994,Yes,Natural,50,,
3/9/1994,Yes,Natural,48,,
4/9/1994,Yes,Natural,48,,
5/9/1994,Yes,Natural,37,,
6/9/1994,Yes,Natural,35,,
7/9/1994,Yes,Natural,35,,
8/9/1994,Yes,Natural,32,,
9/9/1994,Yes,Natural,35,,
10/9/1994,Yes,Natural,35,,
11/9/1994,Yes,Natural,32,,
12/9/1994,Yes,Natural,32,,
13/9/1994,Yes,Natural,30,,
14/9/1994,Yes,Natural,30,,
15/9/1994,Yes,Natural,30,,
16/9/1994,Yes,Natural,30,,
17/9/1994,Yes,Natural,25,,
18/9/1994,Yes,Natural,25,,
19/9/1994,Yes,Natural,25,,
20/9/1994,Yes,Natural,35,,
21/9/1994,Yes,Natural,42,,
22/9/1994,Yes,Natural,42,,
23/9/1994,Yes,Natural,40,,
24/9/1994,Yes,Natural,40,,
25/9/1994,Yes,Natural,40,,
26/9/1994,Yes,Natural,40,,
27/9/1994,Yes,Natural,40,,
28/9/1994,Yes,Natural,48,,
29/9/1994,Yes,Natural,48,,
30/9/1994,Yes,Natural,60,,
1/10/1994,Yes,Natural,60,,
2/10/1994,Yes,Natural,56,,
3/10/1994,Yes,Natural,45,,
4/10/1994,Yes,Natural,43,,
5/10/1994,Yes,Natural,42,,
6/10/1994,Yes,Natural,42,,
7/10/1994,Yes,Natural,42,,
8/10/1994,No,,,,
9/10/1994,No,,,,
5/6/1995,Yes,Natural,0,,
6/6/1995,Yes,Natural,0,,
7/6/1995,Yes,Natural,0,,
8/6/1995,Yes,Natural,0,,
9/6/1995,Yes,Natural,0,,
10/6/1995,Yes,Natural,0,,
11/6/1995,Yes,Natural,5,,
12/6/1995,Yes,Natural,10,,
13/6/1995,Yes,Natural,10,,
14/6/1995,Yes,Natural,10,,
15/6/1995,Yes,Natural,10,,
16/6/1995,Yes,Natural,10,,
17/6/1995,Yes,Natural,12,,
18/6/1995,Yes,Natural,12,,
19/6/1995,Yes,Natural,10,,
20/6/1995,Yes,Natural,10,,
21/6/1995,Yes,Natural,10,,
22/6/1995,Yes,Natural,10,,
23/6/1995,Yes,Natural,10,,
24/6/1995,Yes,Natural,10,,
25/6/1995,Yes,Natural,7,,
26/6/1995,Yes,Natural,5,,
