Product code,Bureau of Meteorology station number,Year,Month,min_t_(C),Quality
IDCJAC0004,083024,1995,02,9.4,Y
IDCJAC0004,083024,1995,03,4.9,Y
IDCJAC0004,083024,1995,04,0.7,Y
IDCJAC0004,083024,1995,05,1.2,Y
IDCJAC0004,083024,1995,06,-1.4,Y
IDCJAC0004,083024,1995,07,-3.6,Y
IDCJAC0004,083024,1995,08,-0.8,Y
IDCJAC0004,083024,1995,09,-1.4,Y
IDCJAC0004,083024,1995,10,0.4,Y
IDCJAC0004,083024,1995,11,3.1,Y
IDCJAC0004,083024,1995,12,4.6,Y
IDCJAC0004,083024,1996,01,7.3,Y
IDCJAC0004,083024,1996,02,5.7,Y
IDCJAC0004,083024,1996,03,4.9,Y
IDCJAC0004,083024,1996,04,-0.1,Y
IDCJAC0004,083024,1996,05,1.5,Y
IDCJAC0004,083024,1996,06,-2,Y
IDCJAC0004,083024,1996,07,-1.7,Y
IDCJAC0004,083024,1996,08,-1.2,Y
IDCJAC0004,083024,1996,09,-1.2,Y
IDCJAC0004,083024,1996,10,2.8,Y
IDCJAC0004,083024,1996,11,2.3,Y
IDCJAC0004,083024,1996,12,4.9,Y
IDCJAC0004,083024,1997,02,12.2,Y
IDCJAC0004,083024,1997,03,4.5,Y
IDCJAC0004,083024,1997,04,3.7,Y
IDCJAC0004,083024,1997,05,0.9,Y
IDCJAC0004,083024,1997,06,-1.2,Y
IDCJAC0004,083024,1997,07,-3.8,Y
IDCJAC0004,083024,1997,08,-2.2,Y
IDCJAC0004,083024,1997,09,-0.3,Y
IDCJAC0004,083024,1997,10,1.6,Y
IDCJAC0004,083024,1997,11,5.5,Y
IDCJAC0004,083024,1997,12,6.5,Y
IDCJAC0004,083024,1998,01,10.1,Y
IDCJAC0004,083024,1998,02,8.6,Y
IDCJAC0004,083024,1998,03,7,Y
IDCJAC0004,083024,1998,04,3.4,Y
IDCJAC0004,083024,1998,05,1,Y
IDCJAC0004,083024,1998,06,-1.4,Y
IDCJAC0004,083024,1998,07,-3.4,Y
IDCJAC0004,083024,1998,08,-0.5,Y
IDCJAC0004,083024,1998,09,0.4,Y
IDCJAC0004,083024,1998,10,-0.6,Y
IDCJAC0004,083024,1998,11,3.2,Y
IDCJAC0004,083024,1998,12,8.5,Y
IDCJAC0004,083024,1999,01,12.1,Y
IDCJAC0004,083024,1999,02,8.4,Y
IDCJAC0004,083024,1999,03,6.5,Y
IDCJAC0004,083024,1999,04,2.5,Y
IDCJAC0004,083024,1999,05,2.1,Y
IDCJAC0004,083024,1999,06,-0.4,Y
IDCJAC0004,083024,1999,07,-1.4,Y
IDCJAC0004,083024,1999,08,-0.9,Y
IDCJAC0004,083024,1999,09,1.2,Y
IDCJAC0004,083024,1999,10,3.5,Y
IDCJAC0004,083024,1999,12,4.6,Y
IDCJAC0004,083024,2000,01,6.2,Y
IDCJAC0004,083024,2000,02,11.6,Y
IDCJAC0004,083024,2000,03,8.2,Y
IDCJAC0004,083024,2000,04,5.5,Y
IDCJAC0004,083024,2000,05,-0.9,Y
IDCJAC0004,083024,2000,06,-1.8,Y
IDCJAC0004,083024,2000,07,-2.5,Y
IDCJAC0004,083024,2000,08,-2,Y
IDCJAC0004,083024,2000,09,-0.2,Y
IDCJAC0004,083024,2000,10,0.8,Y
IDCJAC0004,083024,2000,11,6.9,Y
IDCJAC0004,083024,2001,03,5.5,Y
IDCJAC0004,083024,2001,04,3.9,Y
IDCJAC0004,083024,2001,05,0.8,Y
IDCJAC0004,083024,2001,06,-0.2,Y
IDCJAC0004,083024,2001,07,-0.8,Y
IDCJAC0004,083024,2001,08,-2,Y
IDCJAC0004,083024,2001,09,1.5,Y
IDCJAC0004,083024,2001,10,0.2,Y
IDCJAC0004,083024,2001,11,2.8,Y
IDCJAC0004,083024,2001,12,4.2,Y
IDCJAC0004,083024,2002,01,7.1,Y
IDCJAC0004,083024,2002,02,7.3,Y
IDCJAC0004,083024,2002,03,6.7,Y
IDCJAC0004,083024,2002,04,5.7,Y
IDCJAC0004,083024,2002,05,1.4,Y
IDCJAC0004,083024,2002,06,-1.2,Y
IDCJAC0004,083024,2002,07,-2.3,Y
IDCJAC0004,083024,2002,08,-2.3,Y
IDCJAC0004,083024,2002,09,-1.1,Y
IDCJAC0004,083024,2002,10,0.4,Y
IDCJAC0004,083024,2002,11,6.3,Y
IDCJAC0004,083024,2002,12,7,Y
IDCJAC0004,083024,2003,01,10,Y
IDCJAC0004,083024,2003,02,10.6,Y
IDCJAC0004,083024,2003,03,5.9,Y
IDCJAC0004,083024,2003,04,3.8,Y
IDCJAC0004,083024,2003,05,2.2,Y
IDCJAC0004,083024,2003,06,-0.7,Y
IDCJAC0004,083024,2003,07,-2.2,Y
IDCJAC0004,083024,2003,08,-3.4,Y
IDCJAC0004,083024,2003,09,-2.5,Y
IDCJAC0004,083024,2003,10,-0.8,Y
IDCJAC0004,083024,2003,11,4.9,Y
IDCJAC0004,083024,2003,12,8.1,Y
